key,main_category,price_num,median_price,price_to_cat_median
https://www.jumia.co.ke/generic-miyueleni-hand-cream-267917776.html,Health & Beauty,108.0,848.5,0.12728344136711844
https://www.jumia.co.ke/easeed-beetroot-seeds-high-germination-deep-red-globe-beets-for-gardening-salads-roasting-and-pickling-325313963.html,Garden & Outdoors,549.0,4300.0,0.12767441860465117
https://www.jumia.co.ke/mk-electronics-tv-guard-high-and-low-voltage-protector-31671052.html,Electronics,650.0,5009.5,0.12975346841002097
https://www.jumia.co.ke/generic-panasonic-cr123a-lithium-battery-312652627.html,Electronics,650.0,5009.5,0.12975346841002097
https://www.jumia.co.ke/bluetooth-remote-hand-held-selfie-stick-tripod-generic-mpg416612.html,Phones & Tablets,258.0,1974.5,0.13066599139022536
https://www.jumia.co.ke/richripple-micro-charging-cable-type-c-iphone-3in1-fast-cable-169399143.html,Phones & Tablets,260.0,1974.5,0.13167890605216512
https://www.jumia.co.ke/richripple-hook-ceo-bluetooth-earbud-sport-wireless-earphone-headset-255380896.html,Phones & Tablets,269.0,1974.5,0.13623702203089388
https://www.jumia.co.ke/generic-phone-tripod-stand-selfie-sticks-multifunctional-wireless-261418325.html,Phones & Tablets,279.0,1974.5,0.14130159534059256
https://www.jumia.co.ke/portable-tripod-mobile-phone-clip-remote-control-generic-mpg416727.html,Phones & Tablets,280.0,1974.5,0.14180805267156243
https://www.jumia.co.ke/samsung-type-c-to-c-cable-153768978.html,Phones & Tablets,282.5,1974.5,0.14307419599898707
https://www.jumia.co.ke/generic-compact-wireless-car-bluetooth-adapter-mini-car-bluetooth-hands-53901872.html,Phones & Tablets,291.0,1974.5,0.14737908331223096
