date_scraped,page_number,product_url,image,current_price,title,brand,original_price,discount,verified_ratings,rating_number,seller,main_category
2025-10-05,1,https://www.jumia.co.ke/vic-20000mah-power-banks-74wh-portable-charger-ultra-slim-battery-pack-type-c-input-247696732.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/7696742/1.jpg?8033,KSh 771,VIC ♛20000mAh Power Banks 74Wh Portable Charger Ultra Slim Battery Pack( Type C Input),Privacy and Cookie notice,"KSh 1,729",55%,(480 verified ratings),3.6 out of 5,Vic Mall-COD,Home
2025-10-05,1,https://www.jumia.co.ke/richripple-sports-bluetooth-into-the-ear-neck-hanging-type-running-stereo-large-capacity-wireless-earphone-179381069.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/0183971/1.jpg?2747,KSh 322,RichRipple Sports Bluetooth  Into The Ear Neck Hanging Type Running Stereo Large Capacity Wireless Earphone,Privacy and Cookie notice,KSh 600,46%,(1171 verified ratings),3.7 out of 5,RichRipple OfficialStore-SEA-COD,Home
2025-10-05,1,https://www.jumia.co.ke/touphy-rechargeable-hair-clipperhair-trimmershaving-machine-230042868.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/8240032/1.jpg?4883,KSh 670,TOUPHY Rechargeable Hair Clipper/Hair Trimmer/Shaving Machine,Privacy and Cookie notice,"KSh 1,336",50%,(202 verified ratings),3.8 out of 5,Kili Brand Shop-COD,Home
2025-10-05,1,https://www.jumia.co.ke/generic-multicolor-duvet-blanket-sheet-2-pillow-cases-34843445.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/434843/1.jpg?6707,"KSh 1,429 - KSh 1,519","Multicolor Duvet Blanket, Sheet, 2 Pillow Cases",Privacy and Cookie notice,"KSh 2,900 - KSh 3,500",57%,(1191 verified ratings),3.8 out of 5,CLEO BEDDINGS,Home
2025-10-05,1,https://www.jumia.co.ke/ramtons-rm399-corded-electric-kettle-1.7-ltrs-white-1yr-wrty-177871890.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/8178771/1.jpg?0305,"KSh 1,169",Ramtons RM/399-corded Electric Kettle 1.7 Ltrs- White (1YR WRTY),Privacy and Cookie notice,"KSh 1,870",37%,(1817 verified ratings),4.1 out of 5,Jumia,Home
2025-10-05,1,https://www.jumia.co.ke/em-water-dispenser-hot-and-normal-with-storage-cabinet-black-dispenser-wd02-1yr-wrty-317966472.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/4669713/1.jpg?7934,"KSh 2,499",Em Water Dispenser Hot And Normal With Storage Cabinet Black Dispenser WD02 (1YR WRTY),Privacy and Cookie notice,"KSh 4,999",50%,(215 verified ratings),3.9 out of 5,ElectroMate Home Appliances,Home
2025-10-05,1,https://www.jumia.co.ke/em-blender-2-in-1-grinding-machine-with-durable-motor-1.5l-white-bd01-1yr-wrty-279444688.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/6444972/1.jpg?0068,"KSh 1,399","Em Blender 2 In 1 Grinding Machine With Durable Motor 1.5L, White  BD01 (1YR WRTY)",Privacy and Cookie notice,"KSh 2,699",48%,(441 verified ratings),3.8 out of 5,ElectroMate Home Appliances,Home
2025-10-05,1,https://www.jumia.co.ke/ailyons-elp3611k-3.1ch-multimedia-speaker-system-home-theater-subwoofer-with-bluetooth-1yr-wrty-264454060.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/0454462/1.jpg?9793,"KSh 3,899",AILYONS ELP3611K 3.1CH Multimedia Speaker System Home Theater Subwoofer With Bluetooth () (1YR WRTY),Privacy and Cookie notice,"KSh 8,999",57%,(139 verified ratings),3.9 out of 5,UR-HOME(KENYA),Home
2025-10-05,1,https://www.jumia.co.ke/nunix-hair-red-blow-dryer-with-beauty-accessories-hd-01-185789864.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/8987581/1.jpg?0158,KSh 883,Nunix Hair Red Blow Dryer With Beauty Accessories HD-01,Privacy and Cookie notice,,,(1367 verified ratings),3.5 out of 5,Jumia,Home
2025-10-05,1,https://www.jumia.co.ke/ailyons-hd-199a-electric-dry-iron-box-silver-black-1yr-wrty-72938812.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/883927/1.jpg?1896,KSh 899,AILYONS HD-199A Electric Dry Iron Box Silver & Black (1YR WRTY),Privacy and Cookie notice,"KSh 1,399",36%,(3979 verified ratings),3.8 out of 5,UR-HOME(KENYA),Home
